field	description	notes	collected1970to1984	collected1984to2004	collected2004to2009	collected2010toPresent
PWF_CONSTRUCTION_IND	Contributing Factors: Pipe/Weld Failure: Construction-related Pipe/Weld Failure		0	0	0	1
PWF_INSTALLATION_IND	Contributing Factors: Pipe/Weld Failure: Installation-related Pipe/Weld Failure		0	0	0	1
PWF_FABRICATION_IND	Contributing Factors: Pipe/Weld Failure: Fabrication-related Pipe/Weld Failure		0	0	0	1
PWF_MANUFACTURING_IND	Contributing Factors: Pipe/Weld Failure: Original Manufacturing-related Pipe/Weld Failure		0	0	0	1
EQF_CONTROL_RELEAF_IND	Contributing Factors: Equipment Failure: Malfunction of Control/Relief Equipment		0	0	0	1
EQF_THREADED_COUPLING_IND	Contributing Factors: Equipment Failure: Threaded Connection Failure		0	0	0	1
EQF_NON_THREADED_IND	Contributing Factors: Equipment Failure: Non-threaded Connection/Coupling Failure		0	0	0	1
EQF_VALVE_FAILURE_IND	Contributing Factors: Equipment Failure: Valve Failure		0	0	0	1
IO_DAMAGE_BY_OPERATOR_IND	Contributing Factors: Incorrect Operation: Damage by Operator or Operator’s Contractor NOT Excavation and NOT Vehicle/Equipment Damage		0	0	0	1
IO_VALVE_POSITION_IND	Contributing Factors: Incorrect Operation: Valve Left or Placed in Wrong Position, but NOT Resulting in Overpressure		0	0	0	1
IO_EQUIPMENT_OVERPRESSURE_IND	Contributing Factors: Incorrect Operation: Pipeline or Equipment Overpressured		0	0	0	1
IO_NOT_INSTALLED_PROPERLY_IND	Contributing Factors: Incorrect Operation: Equipment Not Installed Properly		0	0	0	1
IO_WRONG_EQUIPMENT_IND	Contributing Factors: Incorrect Operation: Wrong Equipment Specified or Installed		0	0	0	1
IO_INADEQUATE_PROCEDURE_IND	Contributing Factors: Incorrect Operation: Inadequate Procedure		0	0	0	1
IO_NO_PROCEDURE_IND	Contributing Factors: Incorrect Operation: No procedure established		0	0	0	1
IO_FOLLOW_PROCEDURE_IND	Contributing Factors: Incorrect Operation: Failure to follow procedures		0	0	0	1
CAUSE_LEAK_CONSTRUCTION	Construction defect or material failure		1	0	0	0
INITIAL_TEST	Was strength test done at time of installation?		1	0	0	0
TEST_MEDIUM_INITIAL	Which medium used for the strength test	See also TEST_MEDIUM_INITIAL_OTHER	1	0	0	0
TEST_MEDIUM_INITIAL_OTHER	Text description if TEST_MEDIUM_INITIAL is Other		1	0	0	0
INITIAL_TEST_YEAR	The initial strength test execution year		1	0	0	0
MINIMUM_TEST_PRESSURE_INI	Minimum pressure at the time of strength test		1	0	0	0
TIME_HELD_PRESSURE_INITIAL	Number of hours test pressure held for initial strength test		1	0	0	0
PRESSURE_LEAK_INITIAL	Estimated test pressure at point of leak for initial test		1	0	0	0
SUBSEQUENT_TEST	Was strength test done at any time subsequently?		1	0	0	0
TEST_MEDIUM_SUBSEQUENT	Which medium used for the subsequent test	See also TEST_MEDIUM_SUBSEQUENT_OT	1	0	0	0
TEST_MEDIUM_SUBSEQUENT_OT	Text description for when TEST_MEDIUM_SUBSEQUENT is Other		1	0	0	0
SUBSEQUENT_TEST_YEAR	The subsequent test execution year		1	0	0	0
MINIUM_TEST_PRESSURE_SUBS	Minimum pressure at the time of subsequent test		1	0	0	0
TIME_HELD_PRESSURE_SUBSEQ	Number of hours test pressure held for subsequent test		1	0	0	0
PRESSURE_LEAK_SUBSEQUENT	Estimated test pressure at point of leak for subsequent test		1	0	0	0
PREPARER_NAME	Preparer's Name	Possible inconsistent formatting	0	0	0	1
PREPARER_TITLE	Preparer's Title	Possible inconsistent formatting	0	0	0	1
PNAME	Preparer's Name and Title		0	1	1	1
PREPARER_EMAIL	Preparer's E-mail Address		0	0	1	1
PREPARER_TELEPHONE	Preparer’s Telephone Number	Inconsistent formatting	0	1	1	1
PREPARER_FAX	Preparer’s Facsimile Number	Inconsistent formatting	0	0	0	1
LOCAL_CONTACT_NAME	Local Contact Name (optional)	Possible inconsistent formatting	0	0	0	1
LOCAL_CONTACT_EMAIL	Local Contact Email (optional)	Possible inconsistent formatting	0	0	0	1
LOCAL_CONTACT_TELEPHONE	Local Contact Phone (optional)	Inconsistent formatting	0	0	0	1
AUTHORIZER_NAME	Authorized Signer	Possible inconsistent formatting	0	0	0	1
AUTHORIZER_TITLE	Authorized Signer’s Title	Possible inconsistent formatting	0	0	0	1
AUTHORIZER_TELEPHONE	Authorized Signer Telephone Number	Inconsistent formatting	0	0	0	1
AUTHORIZER_EMAIL	Authorized Signer’s E-mail Address	Possible inconsistent formatting	0	0	0	1
NARRATIVE	Narrative description of the Incident		0	1	1	1
SOURCE	Which PHMSA dataset this observation came from		1	1	1	1
